rank,name,town
210,3iL École d'ingénieurs,Limoges
80,AgroParisTech,Paris
16,Aix-Marseille Université,Marseille
69,Arts et Métiers ParisTech,Paris
102,Audencia Business School,Nantes
89,Avignon Université,Avignon
139,Bordeaux INP,Talence
208,Brest Business School,Brest
180,BUILDERS École d'ingénieurs,Épron
140,Burgundy School of Business,Dijon
226,Campus Adventiste du Salève,Collonges-sous-Saleve
115,Centrale Lille,Villeneuve-d'Ascq
148,Centrale Méditerranée,Marseille
34,CentraleSupélec,Gif-sur-Yvette
95,CESI École d'Ingénieurs,Paris
45,CY Cergy Paris Université,Cergy-Pontoise
172,CY Tech,Cergy-Pontoise
174,ECAM Lyon,Lyon
216,ECAM Rennes Louis de Broglie,Bruz
Un,ECAM Strasbourg-Europe,Schiltigheim
215,ECAM-EPMI,Cergy-Pontoise
149,ECE Paris,Paris
21,École Centrale de Lyon,Écully
91,École Centrale de Nantes,Nantes
214,École de Biologie Industrielle,Cergy-Pontoise
228,École de Commerce de Valence,Valence
227,École de Gestion et de Commerce d'Occitanie,Rodez
123,École de Management de Normandie,Caen
206,École de Management Léonard de Vinci,Paris La Défense
190,École des Dirigeants et Créateurs d'entreprise,Courbevoie
37,École des Hautes Études Commerciales de Paris,Jouy-en-Josas
71,École des Hautes Études Commerciales du Nord,Roubaix
93,École des Hautes Études en Santé Publique,Rennes
32,École des Hautes Études en Sciences Sociales,Paris
193,École des Ingénieurs de la Ville de Paris,Paris
65,École des Ponts ParisTech,Champs-sur-Marne
130,École d'ingénieur généraliste en informatique et technologies du numérique,Villejuif
201,École d'Ingénieurs de Purpan,Toulouse
194,École d'Ingénieurs Généralistes La Rochelle,La Rochelle
171,École d'ingénieurs SIGMA Clermont,Aubière
220,École Européenne de Management,Paris
Un,École Nationale de la Météorologie,Toulouse
161,École Nationale de la Statistique et de l'Analyse de l'information,Bruz
98,École Nationale de l'Aviation Civile,Toulouse
164,École Nationale des Travaux Publics de l'État,Vaulx-en-Velin
170,École Nationale d'Ingénieurs de Brest,Brest
